"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"1","JC",19,-1405.89499618943,2849.78999237886,1.41988588488413e-23,2850.69046631251,1.97293101249863e-23,2940.25987498614
"2","JC+I",20,-1405.33269667674,2850.66539335349,9.1656345150723e-24,2851.66183463462,1.21389730837719e-23,2945.89684872957
"3","JC+G(4)",20,-1405.33381877089,2850.66763754178,9.15535557827603e-24,2851.66407882292,1.21253596523292e-23,2945.89909291786
"4","JC+G(4)+I",21,-1405.33676662946,2852.67353325893,3.3581531280689e-24,2853.77092043232,4.22863097342771e-24,2952.66656140381
"5","F81",22,-1376.61359654041,2797.22719308083,3.68230948105079e-12,2798.43052245063,4.39758782343679e-12,2901.98179399452
"6","F81+I",23,-1376.06396321721,2798.12792643442,2.3470834092732e-12,2799.44221214871,2.65172751380176e-12,2907.64410011691
"7","F81+G(4)",23,-1376.06500155305,2798.1300031061,2.34464761326039e-12,2799.44428882038,2.64897555906523e-12,2907.64617678859
"8","F81+G(4)+I",24,-1376.06734071453,2800.13468142905,8.60532373417467e-13,2801.56495556493,9.17447071457704e-13,2914.41242788035
"9","K80",20,-1381.60364290631,2803.20728581263,1.85165319469456e-13,2804.20372709376,2.45233085106277e-13,2898.43874118871
"10","K80+I",21,-1380.83994094368,2803.67988188736,1.46196412312148e-13,2804.77726906076,1.84092462055969e-13,2903.67291003224
"11","K80+G(4)",21,-1380.8555446513,2803.71108930259,1.43932911666542e-13,2804.80847647599,1.81242232011848e-13,2903.70411744748
"12","K80+G(4)+I",22,-1380.84665147753,2805.69330295507,5.34229523853897e-14,2806.89663232487,6.38002118265715e-14,2910.44790386876
"13","HKY",23,-1352.2757807095,2750.551561419,0.0503042781249551,2751.86584713329,0.056833616495626,2860.0677351015
"14","HKY+I",24,-1351.38544979916,2750.77089959831,0.0450792042029808,2752.20117373419,0.0480606949340241,2865.04864604961
"15","HKY+G(4)",24,-1351.43580153795,2750.8716030759,0.042865585329742,2752.30187721177,0.0457006696574489,2865.1493495272
"16","HKY+G(4)+I",25,-1351.39856094757,2752.79712189514,0.0163677001147622,2754.3484345443,0.0164254881663476,2871.83644111524
"17","TrNe",21,-1381.53397980125,2805.0679596025,7.30330552171886e-14,2806.1653467759,9.19641921013446e-14,2905.06098774739
"18","TrNe+I",22,-1380.78703946964,2805.57407893929,5.6704438124001e-14,2806.77740830908,6.77191170139706e-14,2910.32867985298
"19","TrNe+G(4)",22,-1380.79910497487,2805.59820994974,5.6024381294031e-14,2806.80153931954,6.69069610422602e-14,2910.35281086343
"20","TrNe+G(4)+I",23,-1380.79099477162,2807.58198954324,2.0778050798897e-14,2808.89627525752,2.34749769730882e-14,2917.09816322573
"21","TrN",24,-1351.30631944129,2750.61263888259,0.048791269535036,2752.04291301846,0.0520182723281537,2864.89038533388
"22","TrN+I",25,-1350.55872882649,2751.11745765299,0.0379072356715887,2752.66877030215,0.0380410715358269,2870.15677687309
"23","TrN+G(4)",25,-1350.57003996587,2751.14007993174,0.0374808774896547,2752.6913925809,0.037613208047195,2870.17939915184
"24","TrN+G(4)+I",26,-1350.5579747219,2753.11594944381,0.0139558128505688,2754.79336879865,0.0131492820173474,2876.91684143271
"25","TPM1",21,-1380.22289756192,2802.44579512383,2.70966281109736e-13,2803.54318229723,3.41204336240036e-13,2902.43882326872
"26","TPM1+I",22,-1379.47677095496,2802.95354190992,2.10212935623369e-13,2804.15687127972,2.51046211836174e-13,2907.70814282361
"27","TPM1+G(4)",22,-1379.50575920897,2803.01151841794,2.04206705304262e-13,2804.21484778773,2.43873288036047e-13,2907.76611933163
"28","TPM1+G(4)+I",23,-1379.48392966896,2804.96785933791,7.67813891606272e-14,2806.2821450522,8.67473739453525e-14,2914.48403302041
"29","K81",21,-1380.22289756192,2802.44579512383,2.70966281109736e-13,2803.54318229723,3.41204336240036e-13,2902.43882326872
"30","K81+I",22,-1379.47677095496,2802.95354190992,2.10212935623369e-13,2804.15687127972,2.51046211836174e-13,2907.70814282361
"31","K81+G(4)",22,-1379.50575920897,2803.01151841794,2.04206705304262e-13,2804.21484778773,2.43873288036047e-13,2907.76611933163
"32","K81+G(4)+I",23,-1379.48392966896,2804.96785933791,7.67813891606272e-14,2806.2821450522,8.67473739453525e-14,2914.48403302041
"33","TPM1u",24,-1350.90680063457,2749.81360126915,0.07275300424059,2751.24387540503,0.0775648107405931,2864.09134772045
"34","TPM1u+I",25,-1350.05135548833,2750.10271097666,0.0629609911707132,2751.65402362582,0.0631832822061141,2869.14203019676
"35","TPM1u+G(4)",25,-1350.10978463513,2750.21956927026,0.0593876445217824,2751.77088191942,0.0595973194450213,2869.25888849036
"36","TPM1u+G(4)+I",26,-1350.06410940868,2752.12821881736,0.0228685230679026,2753.8056381722,0.0215469111229741,2875.92911080627
"37","TPM2",21,-1381.58255432351,2805.16510864702,6.95702913360753e-14,2806.26249582042,8.7603833879752e-14,2905.15813679191
"38","TPM2+I",22,-1380.82159036797,2805.64318073593,5.47787082646526e-14,2806.84651010573,6.54193195025777e-14,2910.39778164962
"39","TPM2+G(4)",22,-1380.83667731232,2805.67335462463,5.39584679597506e-14,2806.87668399443,6.44397498070669e-14,2910.42795553832
"40","TPM2+G(4)+I",23,-1380.82831638522,2807.65663277044,2.00168729600447e-14,2808.97091848473,2.26150006253342e-14,2917.17280645293
"41","TPM2u",24,-1352.15924511311,2752.31849022623,0.0207931940091452,2753.7487643621,0.0221684337966069,2866.59623667752
"42","TPM2u+I",25,-1351.26986625258,2752.53973250515,0.0186156864459306,2754.09104515432,0.0186814112723321,2871.57905172525
"43","TPM2u+G(4)",25,-1351.31975697621,2752.63951395242,0.0177097238531788,2754.19082660158,0.017772250074237,2871.67883317252
"44","TPM2u+G(4)+I",26,-1351.28256394233,2754.56512788467,0.00676192013149858,2756.24254723951,0.00637113694056377,2878.36601987357
"45","TPM3",21,-1381.60348457237,2805.20696914473,6.81293005778446e-14,2806.30435631813,8.57893191985286e-14,2905.19999728962
